	gene_h	gene_t	onco	chem_emb
88	ACTA1	TPM1	0	"[-5.9967214e-01  1.3359212e+02 -5.2459016e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  1.0390625e+01  6.8257910e+02
  3.6894953e-01  0.0000000e+00  0.0000000e+00  1.4806779e-03
  3.1080104e-03  9.9541134e-01  1.1968575e+02  2.8755711e-02
  8.7704916e+00  9.4715273e-01  0.0000000e+00  0.0000000e+00]"
99	ACTB	CORO1A	0	"[-5.6414473e-01  1.2853223e+02  1.3157895e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  8.3288422e+00  8.1767010e+02
  2.7375370e-01  0.0000000e+00  0.0000000e+00  1.0705068e-01
  2.2662516e-01  6.6632414e-01  3.0766476e+01  3.1033587e-02
  9.4342108e+00  9.4940071e+00  0.0000000e+00  0.0000000e+00]"
122	ACTG2	KRT13	0	"[-5.4712039e-01  1.2924397e+02 -3.4031413e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  8.9043999e+00  7.9266888e+02
  2.7120420e-01  0.0000000e+00  0.0000000e+00  2.8537193e-02
  1.3904470e-01  8.3241808e-01  3.0453434e+01  4.6681833e-02
  8.9162302e+00  5.5508404e+00  0.0000000e+00  0.0000000e+00]"
130	ACTN4	EEF1A1	0	"[-3.7039486e-01  1.2663353e+02 -8.2236845e-03  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  8.8091536e+00  8.3173822e+02
  2.4993216e-01  0.0000000e+00  0.0000000e+00  1.6418169e-01
  3.4385952e-01  4.9195877e-01  2.6424681e+01  2.9583622e-02
  8.9934206e+00  8.1385708e+00  0.0000000e+00  0.0000000e+00]"
137	ADAM12	CSH2	0	"[-2.24113464e-01  1.27642540e+02  1.06382981e-01  2.00000000e+00
  7.00000000e+01  4.50000000e+00  2.04199997e+02  1.00000000e+00
  2.00000000e+00  7.00000000e+01  7.48212862e+00  1.00431384e+03
  1.70744687e-01  0.00000000e+00  0.00000000e+00  8.92039388e-02
  1.29620254e-01  7.81175733e-01  2.28577671e+01  4.92429957e-02
  6.94326258e+00  5.21104336e+00  0.00000000e+00  0.00000000e+00]"
138	ADAMTS13	CACFD1	0	"[-8.5221700e-02  1.2114358e+02  1.7241379e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  7.9297562e+00  8.3792517e+02
  1.5649213e-01  0.0000000e+00  0.0000000e+00  2.8652484e-02
  1.4191052e-01  8.2943702e-01  6.2008083e+01  1.2351670e-02
  5.0147781e+00  5.4102048e-02  0.0000000e+00  0.0000000e+00]"
144	ADAP2	RNF135	0	"[-5.8376288e-01  1.3417497e+02  5.1546391e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  9.7127333e+00  8.6811115e+02
  2.9190975e-01  0.0000000e+00  0.0000000e+00  1.2917028e-01
  2.7175918e-01  5.9907061e-01  2.4041384e+01  2.7035285e-02
  1.0489691e+01  7.2686272e+00  0.0000000e+00  0.0000000e+00]"
148	ADAR	PRB2	0	"[-1.4841881e+00  1.2335598e+02  1.1965812e-01  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  4.8397059e+00  8.7770709e+02
  1.7446169e-01  0.0000000e+00  0.0000000e+00  6.6881225e-02
  2.4103099e-01  6.9208777e-01  4.4966030e+01  2.8307401e-02
  6.6239314e+00  4.5360770e+00  0.0000000e+00  0.0000000e+00]"
149	ADCK4	NUMBL	0	"[-8.9476752e-01  1.2437382e+02  9.8837212e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  6.0684519e+00  9.7734332e+02
  1.8900448e-01  0.0000000e+00  0.0000000e+00  3.1399637e-02
  5.4920170e-02  9.1368020e-01  5.4189411e+01  3.5086535e-02
  6.0348835e+00  2.4315245e+00  0.0000000e+00  0.0000000e+00]"
151	AEN	ISG20	0	"[-4.7408915e-01  1.2846800e+02  1.1133603e-01  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  9.0153418e+00  8.0881030e+02
  2.2840756e-01  0.0000000e+00  0.0000000e+00  6.4876318e-02
  1.4101782e-01  7.9410583e-01  3.0830799e+01  3.4306414e-02
  8.4736843e+00  8.2015400e+00  0.0000000e+00  0.0000000e+00]"
153	AGBL2	MTCH2	0	"[-4.7228920e-01  1.3433371e+02  5.4216869e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  9.0583687e+00  5.0550613e+02
  1.8909785e-01  0.0000000e+00  0.0000000e+00  2.8394533e-02
  2.0304425e-01  7.6856118e-01  2.0878786e+01  6.2273189e-02
  5.1686745e+00  3.3705553e-01  0.0000000e+00  0.0000000e+00]"
160	AGPAT1	TG	0	"[-2.3330407e-01  1.2823277e+02 -7.0298770e-03  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  8.5565586e+00  8.2178351e+02
  2.0267701e-01  0.0000000e+00  0.0000000e+00  6.3081965e-02
  1.1498621e-01  8.2193178e-01  4.4851410e+01  9.2213079e-03
  1.0493849e+01  9.2809649e+00  0.0000000e+00  0.0000000e+00]"
162	AGTPBP1	HNRNPK	0	"[-1.58426985e-01  1.30233688e+02  1.01123594e-01  2.00000000e+00
  7.00000000e+01  4.50000000e+00  1.81199997e+02  1.00000000e+00
  2.00000000e+00  7.00000000e+01  1.05122290e+01  5.84471558e+02
  1.71475992e-01  0.00000000e+00  0.00000000e+00  5.38058914e-02
  1.49519563e-01  7.96674490e-01  1.72354259e+01  1.01123594e-01
  9.00000000e+00  5.15909100e+00  0.00000000e+00  0.00000000e+00]"
163	AIF1L	NUP214	0	"[-9.5652185e-02  1.1404780e+02  5.4347824e-04  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  4.8911452e+00  6.9286560e+02
  6.2839746e-02  0.0000000e+00  0.0000000e+00  1.9241662e-01
  3.0551648e-01  5.0206691e-01  7.4935234e+01  5.5033080e-03
  5.0630436e+00  1.4836070e-01  0.0000000e+00  0.0000000e+00]"
166	ALB	CLU	0	"[-3.8256878e-01  1.2436604e+02  1.0550459e-01  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  7.2508969e+00  7.7106464e+02
  1.3459904e-01  0.0000000e+00  0.0000000e+00  2.5973748e-02
  1.8818630e-01  7.8583992e-01  3.4690731e+01  5.3278342e-02
  5.8073397e+00  2.2866123e+00  0.0000000e+00  0.0000000e+00]"
203	ALB	KNG1	0	"[-5.6469595e-01  1.3092583e+02  0.0000000e+00  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  8.9886427e+00  6.7447760e+02
  2.7430263e-01  0.0000000e+00  0.0000000e+00  2.4424616e-01
  2.6692015e-01  4.8883370e-01  4.5544098e+01  7.8553008e-03
  9.3006754e+00  9.5933723e+00  0.0000000e+00  0.0000000e+00]"
229	ALB	ADH1A	0	"[-3.96319062e-01  1.32424530e+02  3.06748459e-03  2.00000000e+00
  7.00000000e+01  4.50000000e+00  2.04199997e+02  1.00000000e+00
  2.00000000e+00  7.00000000e+01  9.60358047e+00  6.58746033e+02
  3.04138035e-01  0.00000000e+00  0.00000000e+00  1.23094700e-01
  2.90060669e-01  5.86844623e-01  3.05992603e+01  1.54879745e-02
  1.00981598e+01  6.93658638e+00  0.00000000e+00  0.00000000e+00]"
244	ALDOA	S100A8	0	"[-3.7672955e-01  1.2788426e+02  1.5723271e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  9.2432423e+00  7.6724872e+02
  2.4107692e-01  0.0000000e+00  0.0000000e+00  1.8129888e-01
  2.0172781e-01  6.1697334e-01  2.3331980e+01  3.0734545e-02
  9.7735853e+00  1.2352360e+01  0.0000000e+00  0.0000000e+00]"
247	ALOX12	RNASEK-C17orf49	0	"[-2.0801459e-01  1.3196025e+02 -8.1967209e-03  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  9.5900450e+00  8.5782281e+02
  2.3305313e-01  0.0000000e+00  0.0000000e+00  1.0078676e-01
  1.9153094e-01  7.0768225e-01  2.8026510e+01  1.9333048e-02
  1.0613843e+01  6.1863775e+00  0.0000000e+00  0.0000000e+00]"
249	AMY1B	HTN3	0	"[-4.9946806e-01  1.3012552e+02 -2.6595744e-03  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  8.5601597e+00  9.1407513e+02
  2.1523353e-01  0.0000000e+00  0.0000000e+00  1.0402642e-01
  2.6757255e-01  6.2840104e-01  2.0441324e+01  4.5608874e-02
  8.5744677e+00  6.8339972e+00  0.0000000e+00  0.0000000e+00]"
251	AMY2A	CPA1	0	"[-4.30295557e-01  1.31728561e+02  1.35467984e-02  2.00000000e+00
  7.00000000e+01  4.50000000e+00  2.04199997e+02  1.00000000e+00
  2.00000000e+00  7.00000000e+01  8.75772190e+00  1.02273975e+03
  2.15248123e-01  0.00000000e+00  0.00000000e+00  2.67612666e-01
  3.34536821e-01  3.97850513e-01  2.08363247e+01  2.68873312e-02
  1.09162560e+01  8.37815475e+00  0.00000000e+00  0.00000000e+00]"
252	ANKRD1	MTRNR2L2	0	"[-8.6792462e-02  1.3281508e+02  9.4339624e-03  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  1.0176937e+01  6.4912280e+02
  1.9702467e-01  0.0000000e+00  0.0000000e+00  1.2034321e-01
  3.3781248e-01  5.4184437e-01  1.2868484e+01  1.4061944e-01
  7.4528303e+00  3.6371553e+00  0.0000000e+00  0.0000000e+00]"
259	ANKRD13D	RPL29	0	"[-4.3912178e-01  1.3072353e+02 -6.9860280e-03  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  9.1523867e+00  7.8473108e+02
  2.3945110e-01  0.0000000e+00  0.0000000e+00  1.8916760e-01
  2.4580066e-01  5.6503177e-01  2.6482187e+01  2.0258883e-02
  1.0149700e+01  7.3955450e+00  0.0000000e+00  0.0000000e+00]"
268	AP1M2	CDKN2D	0	"[-4.74359170e-02  1.22935875e+02  4.48717959e-02  2.00000000e+00
  7.00000000e+01  4.19999981e+00  1.74199997e+02  1.00000000e+00
  2.00000000e+00  7.00000000e+01  9.60070705e+00  7.32119751e+02
  1.57051280e-01  0.00000000e+00  0.00000000e+00  4.99512535e-03
  6.61259936e-03  9.88392234e-01  3.45671616e+01  1.07823797e-01
  8.41025639e+00  1.82950377e+00  0.00000000e+00  0.00000000e+00]"
269	APLP2	HSP90B1	0	"[-9.14893821e-02  1.27401405e+02  3.90070938e-02  2.00000000e+00
  7.00000000e+01  4.50000000e+00  2.04199997e+02  1.00000000e+00
  2.00000000e+00  7.00000000e+01  8.83664131e+00  8.61958862e+02
  2.07396150e-01  0.00000000e+00  0.00000000e+00  3.39477062e-02
  9.63881612e-02  8.69664133e-01  2.68986320e+01  6.84573203e-02
  9.65248203e+00  6.21408319e+00  0.00000000e+00  0.00000000e+00]"
277	APOA1	AHSG	0	"[ 9.7230762e-01  1.2591076e+02 -7.6923077e-03  2.0000000e+00
  7.0000000e+01  4.5000000e+00  1.7420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  1.0034846e+01  6.2823193e+02
  1.2884615e-01  0.0000000e+00  0.0000000e+00  3.6314437e-03
  4.8444024e-03  9.9152416e-01  2.8586107e+01  1.3372780e-01
  8.6923075e+00  8.4134614e-01  0.0000000e+00  0.0000000e+00]"
283	APOH	ALB	0	"[2.85714239e-01 1.31698196e+02 1.16071425e-01 2.00000000e+00
 7.00000000e+01 4.50000000e+00 1.81199997e+02 1.00000000e+00
 2.00000000e+00 7.00000000e+01 9.76524639e+00 6.11471069e+02
 1.63555190e-01 0.00000000e+00 0.00000000e+00 4.64965776e-03
 5.52991824e-03 9.89820421e-01 2.47602673e+01 1.49872452e-01
 8.39285755e+00 1.62467527e+00 0.00000000e+00 0.00000000e+00]"
290	AQP10	ATP8B2	0	"[-1.2904570e-01  1.3170973e+02  1.2448133e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  9.2845602e+00  8.0528497e+02
  1.9942892e-01  0.0000000e+00  0.0000000e+00  8.2744665e-02
  1.8828177e-01  7.2897357e-01  3.5460289e+01  1.9980717e-02
  9.6307058e+00  8.0546064e+00  0.0000000e+00  0.0000000e+00]"
292	AQP3	S100A14	0	"[-4.62686598e-01  1.27119385e+02 -1.11940298e-02  2.00000000e+00
  7.00000000e+01  4.50000000e+00  2.04199997e+02  1.00000000e+00
  2.00000000e+00  7.00000000e+01  9.04822159e+00  8.26734680e+02
  2.64911354e-01  0.00000000e+00  0.00000000e+00  5.82494214e-02
  2.33696118e-01  7.08054543e-01  2.59406586e+01  5.55803068e-02
  7.44776106e+00  5.99349117e+00  0.00000000e+00  0.00000000e+00]"
295	AQP5	PRH1	0	"[2.9288024e-01 1.2435370e+02 1.1326861e-02 2.0000000e+00 7.0000000e+01
 4.5000000e+00 2.0420000e+02 1.0000000e+00 2.0000000e+00 7.0000000e+01
 8.4752741e+00 8.4874689e+02 1.1918947e-01 0.0000000e+00 0.0000000e+00
 7.0421800e-02 3.3105406e-01 5.9852415e-01 2.9503046e+01 3.3776354e-02
 1.0436893e+01 1.3207855e+01 0.0000000e+00 0.0000000e+00]"
299	ARHGAP11A	SCG5	0	"[-3.8499999e-01  1.2882597e+02  5.7999998e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  9.5441227e+00  7.3792255e+02
  2.5113827e-01  0.0000000e+00  0.0000000e+00  2.4935377e-01
  2.8344738e-01  4.6719888e-01  5.2999966e+01  1.5400000e-02
  7.6999998e+00  1.0070140e+01  0.0000000e+00  0.0000000e+00]"
301	ARHGAP23	KRT1	0	"[-7.1296906e-01  1.2696899e+02  2.8637262e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  7.9482441e+00  8.9871277e+02
  2.6186052e-01  0.0000000e+00  0.0000000e+00  1.6191252e-01
  2.3715170e-01  6.0093576e-01  3.4815838e+01  7.7538798e-03
  1.1778144e+01  6.3018670e+00  0.0000000e+00  0.0000000e+00]"
304	ARHGAP44	MAGT1	0	"[-4.4987050e-01  1.2677693e+02  3.8860103e-03  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  8.3280802e+00  6.9414355e+02
  2.1269564e-01  0.0000000e+00  0.0000000e+00  2.3540860e-01
  2.8012004e-01  4.8447135e-01  6.0212101e+01  1.0627802e-02
  8.2046633e+00  9.1980066e+00  0.0000000e+00  0.0000000e+00]"
310	ARHGDIB	ERP27	0	"[-7.2584265e-01  1.3573145e+02 -1.1235955e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  8.1273928e+00  9.0345148e+02
  2.5555414e-01  0.0000000e+00  0.0000000e+00  7.6634735e-02
  4.4365385e-01  4.7971150e-01  1.6827057e+01  9.0518877e-02
  8.0561800e+00  5.4627171e+00  0.0000000e+00  0.0000000e+00]"
314	ARHGEF5	OR2A4	0	"[-7.8645968e-01  1.2859087e+02 -2.1796566e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  7.9394531e+00  7.5445728e+02
  2.4935935e-01  0.0000000e+00  0.0000000e+00  9.2610247e-02
  2.4543937e-01  6.6195035e-01  4.1169956e+01  7.0683309e-03
  1.0701453e+01  4.5043335e+00  0.0000000e+00  0.0000000e+00]"
318	ARID1B	RAB5A	0	"[-6.9250655e-01  1.1249713e+02  1.6795866e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  1.8120000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  4.9089332e+00  9.6755005e+02
  9.6219756e-02  0.0000000e+00  0.0000000e+00  6.7579970e-02
  2.4102533e-01  6.9139475e-01  5.6610893e+01  1.4589134e-02
  5.6459947e+00  1.9132158e+00  0.0000000e+00  0.0000000e+00]"
323	ARMC6	SLC25A42	0	"[-7.1485177e-02  1.2621860e+02 -5.9405942e-03  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  9.6327963e+00  7.1783490e+02
  2.2417098e-01  0.0000000e+00  0.0000000e+00  1.0299896e-01
  3.2329252e-01  5.7370853e-01  3.0116901e+01  2.1037154e-02
  1.0623762e+01  9.0168943e+00  0.0000000e+00  0.0000000e+00]"
325	ARMC9	B3GNT7	0	"[-2.8342754e-01  1.3196692e+02  4.7080978e-03  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  9.7417421e+00  7.2268085e+02
  2.4691467e-01  0.0000000e+00  0.0000000e+00  1.2040547e-01
  4.1449276e-01  4.6510184e-01  3.8342426e+01  9.2335464e-03
  9.8060265e+00  7.1442428e+00  0.0000000e+00  0.0000000e+00]"
326	ASCC1	SPOCK2	0	"[-7.78378367e-01  1.25510796e+02  1.41891897e-01  2.00000000e+00
  7.00000000e+01  4.50000000e+00  1.81199997e+02  1.00000000e+00
  2.00000000e+00  7.00000000e+01  8.59432030e+00  1.22554041e+03
  2.22741574e-01  0.00000000e+00  0.00000000e+00  9.16318560e-04
  1.37922522e-02  9.85291421e-01  4.86762276e+01  8.54638442e-02
  6.32432413e+00  3.50981116e+00  0.00000000e+00  0.00000000e+00]"
